EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
200746,8,8202,28,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2022,23,6,1,Neumonía (J12-J18)
200855,6,6302,15,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2015,26,4,47,IRA alta (J00-J06)
129108,9,9205,29,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2020,35,4,9,IRA alta (J00-J06)
200783,7,7402,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2021,31,4,24,IRA alta (J00-J06)
200120,13,13103,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,38,4,103,IRA alta (J00-J06)
200861,6,6111,15,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,13,8,5,Crisis obstructiva bronquial (J40-J46)
105826,4,4101,5,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2017,49,7,21,Bronquitis/Bronquiolitis aguda (J20-J21)
117107,16,16104,17,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,43,7,24,Bronquitis/Bronquiolitis aguda (J20-J21)
106827,5,5602,6,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2023,40,5,4,Influenza (J09-J11)
107828,5,5804,7,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,49,5,12,Influenza (J09-J11)
200768,7,7102,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2026,8,5,0,Influenza (J09-J11)
113814,13,13105,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2014,20,6,4,Neumonía (J12-J18)
200773,7,7106,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,37,34,0,"COVID-19, virus no identificado (U07.2)"
115108,6,6303,15,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2017,35,6,13,Neumonía (J12-J18)
117108,16,16203,17,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2026,7,4,24,IRA alta (J00-J06)
200744,13,13303,9,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2015,9,8,3,Crisis obstructiva bronquial (J40-J46)
200176,10,10201,33,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2017,14,7,22,Bronquitis/Bronquiolitis aguda (J20-J21)
105101,4,4102,5,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2018,18,7,6,Bronquitis/Bronquiolitis aguda (J20-J21)
200113,5,5109,7,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2017,25,6,16,Neumonía (J12-J18)
200099,3,3301,4,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2016,30,9,1,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200144,13,13110,14,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2018,9,4,52,IRA alta (J00-J06)
118106,8,8106,18,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2024,32,4,126,IRA alta (J00-J06)
201319,1,1107,2,Hospital,Servicio de Salud,TERCIARIO,PENDIENTE,Mediana Complejidad,2026,15,4,301,IRA alta (J00-J06)
115802,6,6101,15,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,3,8,0,Crisis obstructiva bronquial (J40-J46)
